OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Polygon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,180761,,92 Leyton Green Road & the Summerfield Centre,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538161.5462,188217.5664,0.623783912,owned by a public authority,yes,permissioned,full planning permission,43382,,,22,"Demolition and redevelopment of the respite centre at 92 Leyton GreenRoad to create 22no. three storey three bedroom dwellinghouses andassociated landscape and highway alterations to Matlock Road.Demolition and redevelopment of the Summerfield Centre to provide atwo storey Respite centre, two storey Specialist residential house andtherapeutic centre/facility. The formation of new Highways access andparking on site.",,,,,,,,43445,43445,"MultiPolygon (((538201.16264327021781355 188322.9473163130460307, 538211.15269755746703595 188281.52642433741129935, 538220.3627459768904373 188242.89559283741982654, 538221.01274949091020972 188240.19553469837410375, 538222.01276922284159809 188239.94552586460486054, 538224.06281210447195917 188240.09552143939072266, 538224.51277937844861299 188228.64528334914939478, 538221.41272802569437772 188232.09536596812540665, 538221.63136988645419478 188228.17555199057096615, 538222.01270078250672668 188221.2951407476211898, 538218.26260408142115921 188216.04504609707510099, 538214.61252522491849959 188215.09503987565403804, 538210.56243755831383169 188213.99503202404594049, 538192.71205226972233504 188209.4450035736663267, 538188.6120872397441417 188242.04569180175894871, 538167.91164420114364475 188237.79568000108702108, 538165.81166175450198352 188254.39603049756260589, 538165.41166487080045044 188257.49609597865492105, 538164.51169215771369636 188269.99635740369558334, 538165.11174656567163765 188281.44659164134645835, 538165.21175083238631487 188282.04660366452299058, 538168.11180759640410542 188281.19657547032693401, 538175.91196077188942581 188279.0465024477452971, 538181.9620796456001699 188277.39644617465091869, 538185.91216561442706734 188278.59645645885029808, 538187.02219756285194308 188281.05650318186962977, 538188.21223824564367533 188285.4465894692693837, 538189.45228062150999904 188290.01667928794631734, 538189.71228573354892433 188289.94667688990011811, 538191.26233425387181342 188294.44676412438275293, 538192.8623838066123426 188298.94685117696644738, 538194.41243251040577888 188303.49693944625323638, 538195.9624812143156305 188308.04702771379379556, 538197.41252711927518249 188312.39711221982724965, 538199.01257758960127831 188317.14720443467376754, 538199.71259920008014888 188319.09724213386652991, 538201.16264327021781355 188322.9473163130460307)),((538099.65980681322980672 188121.14352166804019362, 538081.77961224119644612 188168.73457000171765685, 538079.40958609071094543 188174.94470693578477949, 538086.74294943711720407 188171.53700810536975041, 538129.23418503510765731 188195.52993051838711835, 538139.79995133052580059 188203.06453736452385783, 538159.51135313254781067 188205.74504900275496766, 538159.70108442974742502 188203.56304630628437735, 538159.8113442815374583 188201.64496323774801567, 538159.44270034052897245 188198.78805529544479214, 538158.91130000934936106 188194.64482199266785756, 538156.81122747156769037 188186.69466553448000923, 538153.16112813830841333 188180.16454408672871068, 538150.6510643819347024 188176.9144861851236783, 538147.85490438924171031 188172.44980937411310151, 538147.31126049323938787 188171.5817638035514392, 538146.83051149605307728 188170.81414360128110275, 538146.40765780629590154 188170.13896583311725408, 538145.76191494078375399 188169.09738799990736879, 538143.31086980691179633 188165.19427110685501248, 538142.79467033746186644 188164.78561627474846318, 538143.51506862894166261 188164.15547810302814469, 538144.42409157077781856 188163.99717698027961887, 538145.32118538813665509 188163.90533882807358168, 538141.59669496724382043 188160.78423684628796764, 538142.05135352374054492 188161.99835250584874302, 538141.92457652499433607 188163.01587062899488956, 538141.66669145377818495 188163.73656914179446176, 538140.83793512859847397 188163.23654591423110105, 538138.51075674523599446 188161.39421025174669921, 538136.66071377322077751 188160.09419019514461979, 538133.60918031458277255 188158.49964339606231079, 538128.76053596474230289 188156.09413658652920276, 538126.51048473292030394 188154.7941179996705614, 538121.11036074953153729 188151.39406760723795742, 538115.91023924446199089 188147.54400718811666593, 538110.86011661682277918 188142.54392247094074264, 538112.45128526166081429 188142.03550414511119016, 538113.4059103688923642 188141.54590201485552825, 538115.11950961302500218 188141.99587598233483732, 538110.79194533673580736 188136.72017496055923402, 538110.63675773830618709 188138.50967274335562252, 538110.24253381660673767 188139.54684943504980765, 538109.55677059118170291 188140.56565843216958456, 538104.8599624460330233 188134.29377412720350549, 538099.65980681322980672 188121.14352166804019362)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,180272,,"159 Chingford Road, Walthamstow, London, E17 4PN",https://maps.london.gov.uk/brownfield-site-register,OSGB36,537423.2382,190211.3062,0.012176428,not owned by a public authority,yes,permissioned,full planning permission,43395,,,6,"Demolition of existing building and construction of three storey building with balconies on first and second floor amd front and side elevation, with associated refuse storage to create six residential units (1 x 1 bed, 2 x 2 bed and 3 x studios).",,,,,,,,43445,43445,"Polygon ((537416.20339898718520999 190220.83938799827592447, 537421.15350872906856239 190222.88941216497914866, 537430.20361799467355013 190201.73894219053909183, 537426.15352757181972265 190199.88891885132761672, 537425.00350565905682743 190200.38893339625792578, 537420.58345295605249703 190210.89916665485361591, 537416.20339898718520999 190220.83938799827592447))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,173636,,"201 High Street, Walthamstow, London, E17 7BH",https://maps.london.gov.uk/brownfield-site-register,OSGB36,537030.5936,189113.0882,0.020477671,not owned by a public authority,yes,permissioned,full planning permission,43377,,,8,Demolition of existing cafe (Class A3) and residential unit (Class C3)and construction of four storey building with mansard roof addition inorder to accommodate a retail unit (Use Class A3) at ground floor and 8 x residential units (Class C3) comprising 5 x 1 bed and 3 x 2 bed units with integrated balconies and balustrades at the front and rear.Provision of cycle and bin storage at ground floor level.,,,,,,,,43445,43445,"Polygon ((537022.19123182783368975 189122.36815035849576816, 537031.48143243615049869 189124.75816562282852829, 537033.9914588009705767 189117.81801309832371771, 537038.19148975377902389 189102.61768380110152066, 537031.19133731455076486 189100.46766508935252205, 537023.84124865336343646 189117.66804724716348574, 537022.19123182783368975 189122.36815035849576816))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,151013,,463 High Road Leytonstone ,https://maps.london.gov.uk/brownfield-site-register,OSGB37,539200.0172,186283.5764,0.019513432,not owned by a public authority,yes,permissioned,full planning permission,43376,,,5,"Demolition of existing building and construction of three storey building with basement to provide retail space (use class B1, B2 and D1) at basement and ground floor and five self-contained flats on upper floors (3 x 1 bed, 2 x 2 bed).",,,,,,,,43445,43445,"Polygon ((539214.27604561438784003 186274.45129940554033965, 539212.77601317374501377 186274.05129665078129619, 539208.17592277773655951 186275.30133934167679399, 539187.62553386273793876 186284.95161401422228664, 539193.32569559384137392 186296.95184088411042467, 539196.72575901017989963 186295.10179020697250962, 539194.52569651999510825 186290.4517022612853907, 539195.72571909637190402 186289.85168546787463129, 539196.07572228682693094 186288.75166147184791043, 539207.37592754256911576 186281.10146204085322097, 539215.37608575820922852 186279.20139345101779327, 539214.27604561438784003 186274.45129940554033965))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,172620,,"Hand Car Wash, 509-515 High Road Leytonstone",https://maps.london.gov.uk/brownfield-site-register,OSGB38,539236.5321,186445.3811,0.046536031,not owned by a public authority,yes,permissioned,full planning permission,43396,,,8,"Removal of existing car lot and portakabin offices and construction ofa three storey building to provide retail unit at ground floor and eight residential units at first and second floor (4 x 1 bedroom, 3 x2 bedroom, and 1 x 3 bedroom flats).",,,,,,,,43445,43445,"Polygon ((539223.96691910631489009 186457.9650531264487654, 539228.02699728822335601 186456.42500642826780677, 539254.07749892654828727 186446.54470682056853548, 539248.52733427355997264 186432.90444553707493469, 539219.47677498310804367 186443.95478030951926485, 539223.96691910631489009 186457.9650531264487654))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,172133,,"Miller House, 30-30a Wilmot Road",https://maps.london.gov.uk/brownfield-site-register,OSGB39,537809.2592,186744.4603,0.01752887,not owned by a public authority,yes,permissioned,full planning permission,43402,,,6,"Demolition of existing warehouse and redevelopment including construction of a two storey building with first floor rear roof terrace situated at front of site and single storey building with accommodation in the roof at rear of site with associated car parking,cycle parking, refuse/recycling storage and associated landscaping to provide six residential units (1 x 1 bedroom, 3 x 2 bedroom and 2 x 3 bedroom units).",,,,,,,,43445,43445,"Polygon ((537800.99861776595935225 186752.46635552862426266, 537808.42878388334065676 186755.92639971087919548, 537817.48889919323846698 186736.3659625654690899, 537810.1987361868377775 186732.96591910644201562, 537804.51964599022176117 186744.95437494150246494, 537800.99861776595935225 186752.46635552862426266))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
