OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,Part2,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,PA1Status,PA2MapNumber
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,PV005,"""8, 10 and 12 Perry Vale""",51.43981,-0.05187,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,not permissioned,,,,,8,,,,Lapsed 11/78857 for residential development including 8 x1 bedroom self-contained flats,30/11/2017,22/10/2018,,Lapsed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,PV006,236-238 Stanstead Road,51.44201,-0.03786,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,not permissioned,,,,,5,,,,"""Lapsed 09/73071 The change of use, alteration and conversion of the existing ground floor shops and upper floors at SE23, to provide 3 x one bedroom, 2 x two bedroom self-contained flats and 2 x studio flats""",30/11/2017,22/10/2018,,Lapsed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,RG002,16-22 Brownhill Road,51.44557,-0.01704,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.1,not owned by a public authority,permissioned,full planning permission,11/01/2016,,yes,19,19,,,"""14/089404 for mixed use development including 9 x one bedroom and 10 x two bedroom self-contained flats, 347m2 ground floor commercial floorspace (A2, A3 or D1)""",30/11/2017,,,Approved site started construction,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,RG008,9-19 Rushey Green,51.45005,-0.016484,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.16,not owned by a public authority,permissioned,full planning permission,06/12/2018,,yes,45,45,,,"""17/101909 for mixed use development including 45 residential units, 295m2 of commercial floorspace (flexible A1/A2/A3/B1 use)""",21/10/2019,,,Approved site,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,RG009,17-18 Catford Broadway,51.445401,-0.21648,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,mixed ownership,permissioned,full planning permission,09/08/2018,,yes,3,3,,,"""18/107215 for mixed use development including 5 residential flats, A3 use (Restaurants & Cafes)""",22/10/2019,,,Approved site started construction,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD002,"""Regent Business Centre, 291-307 Kirkdale""",51.42753,-0.05591,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.23,not owned by a public authority,permissioned,planning permission granted under an order,12/04/2019,,yes,23,23,,,"""16/099465 Prior Approval for residential development including  and 19/111013 Prior Approval  for residential development including 14 x studio flats, 7 x one bedroom flats, 2 x two bedroom flats""",30/11/2017,21/10/2019,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD004,154-158 Sydenham Road,51.4253,-0.04504,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.06,not owned by a public authority,not permissioned,,,,,15,,,,Lapsed 14/088852 for Prior Approval residential development including 9 x two-bedroom and 6 x one-bedroom flats,30/11/2017,22/10/2018,,Lapsed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD007,Roof extension at 96a Sydenham Road,51.42551,-0.04859,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.02,not owned by a public authority,permissioned,full planning permission,18/11/2016,,yes,5,5,,,"""16/098075 for mixed use development including 2 x two bedroom and 3 x one bedroom units, 57m2 of office space (B1)""",30/11/2017,,,Approved site started construction,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD009,169-171 Sydenham Road,51.4259,-0.04636,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,not permissioned,,,,,5,,,,"""Lapsed 09/71367 for mixed use development including 3 x one bedroom and 3 x 2 bedroom flats, cafe/retail unit (A3/A1)""",30/11/2017,22/10/2018,,Lapsed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD010,113 to 157 Sydenham Road,51.42607,-0.04789,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.87,not owned by a public authority,not permissioned,,,,,98,,,,"""Site Allocation SA22 for mixed use development including 98 residential units, retail, employment""",30/11/2017,,,Site Allocation,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD011,"""Garages at Grace Path, rear of 31-61 Silverdale""",51.42852,-0.05355,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.12,owned by a public authority,permissioned,full planning permission,09/05/2018,,yes,5,5,,,18/106597 for residential development including 5 x three bed houses,22/10/2018,,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD012,138 Sydenham Road,51.42552,-0.04574,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.02,not owned by a public authority,permissioned,full planning permission,10/10/2017,,yes,9,9,,,"""17/101668 for residential development including 4 x one bedroom, 2 x two bedroom and 1 x three bedroom self-contained flats plus 2 x two-storey, one bedroom dwellings, 130m2 of A1/A2 retail space""",22/10/2018,,,Approved site started construction,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD013,Land adjacent Brasted Close,51.430876,-0.056874,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.1,mixed ownership,permissioned,full planning permission,10/04/2019,,yes,11,11,,,18/107210 for residential development including 5x one bed and 6x two bed including 1 x 'accessible and adaptable' unit (M4(2) and 1x 'wheelchair user' unit (M4(3),21/10/2019,,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD014,219 Sydenham Road,51.426153,-0.043782,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.07,not owned by a public authority,permissioned,full planning permission,19/03/2018,,yes,4,4,,,17/104391 for residential development including 1 x three bed and 4 x two bed flats,21/10/2019,,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,TH001,43-49 Pomeroy Street,51.47549,-0.05227,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.21,not owned by a public authority,permissioned,full planning permission,03/08/2016,,yes,65,65,,,"""15/093731 for mixed use development including 65 residential units,  441.6m2 of business (B1)""",30/11/2017,,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,TH004,"""New Cross Gate NDC scheme, Besson Street""",51.4754,-0.049,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,1.01,owned by a public authority,not permissioned,,,,,173,,,,"""Lapsed 08/68448 for mixed use development including 173 residential units, 2,020m2 of  D1 (including library, doctor's surgery and other community uses), 815 m2 of D2 floorspace (gym), 361 m2 of A1/A2/A3/A4/D, 193 m2 of A3""",30/11/2017,,,Lapsed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,TH006,6 Mantle Road,51.46432,-0.03799,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.12,not owned by a public authority,not permissioned,,,,,20,,,,"""Site Allocation SA28 for mixed use development including 20 residential units, commercial""",30/11/2017,,,Site Allocation,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,TH007,173-175 Waller Road,51.46912,-0.04714,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,not permissioned,,,,,7,,,,"""Lapsed 09/73025 for residential development including 1 x studio, 2 x one bedroom and 1 x three bedroom self-contained flats, 2 x one bedroom and 1 x three bedroom self-contained maisonettes""",30/11/2017,22/10/2018,,Lapsed,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,TH008,Rear of 122 New Cross Road,51.47571,-0.04832,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.07,not owned by a public authority,not permissioned,,,,,5,,,,"""Lapsed 10/73432 for mixed use development including 5 x two bedroom self-contained maisonettes, 3 commercial units (Use Class B1)""",30/11/2017,22/10/2018,,Lapsed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,TH009,"""Wellington Close, Somerville Estate""",51.47181,-0.04996,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.47,owned by a public authority,permissioned,full planning permission,02/02/2018,,yes,23,23,,,17/104189 for residential development including 20 x flats and 3 x three bedroom 2 storey houses,22/10/2018,,,Approved site,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,TH011,"""Garages At Crossway Court, Endwell Road""",51.46836,-0.03904,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.12,owned by public authority,permissioned,full planning permission,03/04/2018,,yes,9,9,,,"""17/105055 for residential development including 2 x one bedroom, 2 x two bedroom and 5 x three bedroom self contained units""",22/10/2018,,,Approved site,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,TH012,1 Troutbeck Road,51.473724,-0.045232,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,permissioned,full planning permission,07/08/2018,,yes,7,7,,,17/103424 for 7 x non-self contained hostel units,21/10/2019,,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,WF001,"""Excalibur Estate, Baudwin Road""",51.43528,-0.00074,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,6.12,mixed ownership,permissioned,reserved matters approval,30/10/2018,,yes,210,210,,,"""10/75973 full approved on 2012-03-30 and 17/100865 reserved matters approved on 2018-10-30 for residential development including 210 residential units, units to be/have been demolished: 178 units, units already completed:  57 units""",30/11/2017,21/10/2019,,Approved site started construction,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV008,"""Astra House, Arklow Road""",51.480636,-0.034468,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.1,not owned by a public authority,permissioned,full planning permission,24/08/2015,,yes,44,44,,,"""14/089678 for residential development including 34 x one bedroom and 10 x two bedroom units, change of use of part of Astra House south from D1 educational to B1 office""",30/11/2017,,22/10/2018,Site completed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC007,"""Riverdale House, 68 Molesworth Street""",51.461172,-0.013809,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.62,not owned by a public authority,permissioned,full planning permission,19/11/2015,,yes,25,25,,,"""15/091069 for residential development including 14 x one bedroom, 7 x two bedroom dwellings and 4 x three bedroom dwellings""",30/11/2017,,22/10/2018,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX004,"""Kent Wharf, Creekside""",51.479294,-0.01987,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.42,not owned by a public authority,permissioned,full planning permission,17/06/2015,,yes,143,143,,,"""14/089953 for mixed use development including 143 residential units, 1,375 m2 commercial floorspace (B1/D1/D2)""",30/11/2017,,22/10/2018,Site completed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX006,"""1-3 Comet Street, scaffolding yard""",51.476042,-0.0263336,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,19/11/2015,,yes,9,9,,,"""15/92227 for residential development including 3 x three bedroom townhouses, 1 x three bedroom maisonette, 1 x two bedroom maisonette and 4 x one bed flats""",30/11/2017,,22/10/2018,Site completed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,RG001,"""Catford Green, former Catford Greyhound Stadium""",51.447194,-0.024854,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,4.76,not owned by a public authority,permissioned,full planning permission,30/01/2009,,yes,240,240,,,"""07/67276 for mixed use development including 589 residential units, commercial floorspace and a community centre""",30/11/2017,,22/10/2018,Site completed,5 or 6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,RG003,"""Land adjacent to railway, Doggett Road""",51.445873,-0.024488,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.08,not owned by a public authority,permissioned,full planning permission,07/05/2013,,yes,9,9,,,"""12/79846 for mixed use development including 9 x two bedroom self-contained flats, 3 ground floor commercial units (B1)""",30/11/2017,,22/10/2018,Site completed,5 or 6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,RG005,70 Rushey Green,51.447954,-0.018133,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,29/10/2015,,yes,7,7,,,"""15/92113 for residential development including 5 x one-bedroom and 1 x two bedroom self-contained flats, and 1 x two bedroom self-contained maisonette""",30/11/2017,,22/10/2018,Site completed,5 or 6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,RG007,"""Roof extension to Catford Tavern, Station Approach""",51.444554,-0.0244825,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.02,not owned by a public authority,permissioned,full planning permission,27/04/2016,,yes,6,6,,,15/90741 for residential development including 1 x one-bedroom and 5 x two-bedroom self-contained flats,30/11/2017,,22/10/2018,Site completed,5 or 6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD005,"""Laurel Grove, Rear of 215-217 Sydenham Road""",51.426373,-0.044262,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.06,not owned by a public authority,permissioned,full planning permission,28/07/2014,,yes,9,9,,,"""12/082195 for residential development including 1 x three bedroom bungalow, 2 x one bedroom and 6 x two bedroom self-contained flats""",30/11/2017,,22/10/2018,Site completed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,TH002,29 Pomeroy Street,51.476291,-0.052225,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.17,not owned by a public authority,permissioned,full planning permission,16/10/2015,,yes,37,37,,,"""15/091987 for residential development including 17 x one bedroom, 15 x two bedroom and 5 x three bedroom self-contained flats""",30/11/2017,,22/10/2018,Site completed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,WF003,"""Former Downham Fire Station, 260 Reigate Road""",51.464142,-0.0379758,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.21,not owned by a public authority,permissioned,full planning permission,18/05/2016,,yes,30,30,,,"""15/92929 for residential development including 9 x one bedroom, 10 x two bedroom and 3 x three bedroom self-contained flats and 8 x three bedroom maisonettes""",30/11/2017,,22/10/2018,Site completed,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BL001,351-355 Sydenham Road,51.42854,-0.03835,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,permissioned,full planning permission,02/02/2015,,yes,9,9,,,14/88927 for residential development including 8 x two bedroom self-contained flats and 1 x one bedroom maisonette,30/11/2017,,21/10/2019,Site completed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK006,"""Independents Day Centre, Independents Road""",51.4654,0.008078,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.06,not owned by a public authority,permissioned,full planning permission,17/12/2013,,yes,16,16,,,10/76229 for residential development including 10 x one bedroom self-contained flats and 4 x two bedroom and 2 x three bedroom self-contained maisonettes,30/11/2017,,21/10/2019,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK004,"""23 Boone Street, Dacre Park Estate""",51.45975,0.003763,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.91,owned by a public authority,permissioned,full planning permission,04/03/2015,,yes,25,25,,,"""14/089902 for residential development including 6 x 1 bedroom and 14 x 2 bedroom flats, 3 x 3 bedroom and 2 x 4 bedroom flats""",30/11/2017,,21/10/2019,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK003,"""Former petrol station, 167 Lewisham Road""",51.4655,-0.01082,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.07,not owned by a public authority,permissioned,full planning permission,16/03/2016,,yes,28,28,,,"""15/091914 for  mixed use development including 28 flats, ground floor commercial unit (A1-A3)""",30/11/2017,,21/10/2019,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK005,"""Tower House, 65-71 Lewisham High Street""",51.46289,-0.0096,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.17,not owned by a public authority,permissioned,planning permission granted under an order,16/04/2017,,yes,56,56,,,"""15/094039, 15/094870 and 17/100726 Prior Approval for residential development including two additional floors at roof level with 56 residential units""",30/11/2017,22/10/2018,21/10/2019,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BK002,"""BMW site, Lee Terrace""",51.46352,0.000695,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.35,not owned by a public authority,permissioned,full planning permission,20/10/2016,,yes,30,30,,,"""16/095488 for mixed use development including 9 x one bedroom, 8 x two bedroom, 3 x three bedroom self-contained flats and 10 x four bedroom townhouses, 284m2 car showroom (sui generis)""",30/11/2017,,21/10/2019,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CS002,246 Brownhill Road,51.44462,-0.00603,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.1,not owned by a public authority,permissioned,full planning permission,15/06/2015,,yes,5,5,,,14/088055 for residential development including 5 x three bedroom residential units,30/11/2017,,21/10/2019,Site completed,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CP002,33 - 39 Beadnell Road,51.44341,-0.04968,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.09,not owned by a public authority,permissioned,full planning permission,17/09/2015,,yes,9,9,,,"""15/091375 for mixed use development including 4 x three bedroom two storey houses, 1 x three bedroom maisonette, 1 x three bedroom flat, 1 x two bedroom flat and 2 x three bedroom live/work unit, two live work units""",30/11/2017,,21/10/2019,Site completed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CP003,437-439 Brockley Road,51.45317,-0.03803,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,09/01/2015,,yes,7,7,,,"""14/088077 for mixed use development including 2 x three bedroom houses and 4 x one bedroom and 3 x two bedroom self-contained flats, two ground floor retail units""",30/11/2017,,21/10/2019,Site completed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV004,Marine Wharf East,51.48174,-0.03544,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.87,not owned by a public authority,permissioned,full planning permission,13/11/2015,,yes,225,225,,,"""15/091087 and 16/097829 for mixed use development including 102 x one bed, 79 x two bed, 40 x three bed and 4 x four bed units, 1,045 sm2 flexible commercial floor space (A1, A2, A3, B1 and D2)""",30/11/2017,,21/10/2019,Site completed,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH006,14 Westwood Park,51.44299,-0.05843,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,06/05/2016,,yes,7,7,,,"""15/091285 for residential development including 1 x one bedroom, 5 x two bedroom and 1 x three bedroom self-contained flats""",30/11/2017,,21/10/2019,Site completed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LD001,87-89 Loampit Vale,51.46477,-0.01776,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.19,not owned by a public authority,permissioned,full planning permission,11/04/2016,,yes,44,44,,,15/93403 for residential development including 49 self-contained dwellings,30/11/2017,,21/10/2019,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LG002,87 Old Road,51.45823,0.005558,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,permissioned,full planning permission,24/09/2015,,yes,9,9,,,"""14/090064 for residential development including 4 x one bedroom,  2 x two bedroom and 3 x three bedroom self-contained flats""",30/11/2017,22/10/2018,21/10/2019,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC003,"""Boones Almshouses, Belmont Park""",51.46071,-0.00123,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.7,not owned by a public authority,permissioned,full planning permission,30/03/2012,,yes,58,58,,,"""10/74143 for residential development including 32 x one bedroom and 30 x two bedroom almshouses, 1 x two bedroom and 9 x three bedroom self-contained flats, 8 x three bedroom and 8 x four/five bedroom self-contained maisonettes""",30/11/2017,,21/10/2019,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX002,"""Faircharm Trading Estate, Creekside""",51.47746,-0.02024,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.97,not owned by a public authority,permissioned,full planning permission,15/10/2013,,yes,148,148,,,"""12/082000 for mixed use development including 63 x one-bedroom, 68 x two bedroom and 17 x 3 bedroom units, 4,310m2 of mixed commercial floorspace (Block A: 1,786m2 commercial (B1) and 397m2 of Class B1/B2, Block C: 2,127m2 commercial (B1) and new commercial uses 779m2 B1""",30/11/2017,,21/10/2019,Site completed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX017,153 New Cross Road,51.47551,-0.04648,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,permissioned,full planning permission,08/11/2017,,yes,8,8,,,17/099960 for residential development including 6 x two bedroom units and 2 x one bedroom self-contained units,22/10/2018,,21/10/2019,Site completed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,PV002,31 Dacres Road,51.43461,-0.05153,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.11,not owned by a public authority,permissioned,full planning permission,10/06/2016,,yes,7,7,,,15/092092 for residential development including 9 x two-bedroom self-contained flats,30/11/2017,22/10/2018,21/10/2019,Site completed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,RG006,26-32 George Lane,51.45006,-0.01407,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.12,not owned by a public authority,permissioned,full planning permission,07/04/2016,,yes,6,6,,,15/090510 for residential development including 5 x three bedroom houses and 1 x three bedroom house,30/11/2017,,21/10/2019,Site completed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD006,Workshop at rear of 171 Kirkdale,51.43075,-0.0585,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.06,not owned by a public authority,permissioned,full planning permission,18/07/2014,,yes,5,5,,,14/086283 for residential development including 3 x two bedroom and 2 x two bedroom self-contained flats,30/11/2017,,21/10/2019,Site completed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,SD001,"""St Clements Heights, 165 Wells Park Road""",51.43106,-0.0725,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,2.17,not owned by a public authority,permissioned,reserved matters approval,30/03/2015,,yes,50,50,,,"""14/090031 for residential development including 50 x one and two bedroom Almshouses, 20 x four bedroom dwelling-houses and 26 x two and three bedroom self-contained flats""",30/11/2017,,21/10/2019,Site completed,6
